transaction_id,account_id,transaction_date,transaction_type,amount,channel,merchant_category
117,117,7/15/2026,Transfer,7927,Mobile,Other
118,118,6/21/2026,ATM,9284,Mobile,Other
119,119,4/9/2026,Transfer,8552,Branch,Groceries
120,120,4/22/2026,Credit,6995,Mobile,Utilities
121,121,10/8/2025,Debit,8310,ATM,Other
122,122,2/4/2026,Transfer,5759,Mobile,Utilities
123,123,12/25/2025,Transfer,8608,ATM,Other
124,124,2/11/2026,Debit,9095,Web,Utilities
125,125,5/17/2026,Debit,6496,ATM,Utilities
126,126,12/27/2025,Debit,6342,Web,Retail
127,127,5/22/2026,Credit,6837,Mobile,Fuel
128,128,2/16/2026,Transfer,9833,Branch,Other
129,129,4/7/2026,Debit,5549,Mobile,Fuel
130,130,7/2/2026,ATM,6648,Mobile,Fuel
131,131,10/22/2025,Transfer,5936,Web,Retail
132,132,10/24/2025,Transfer,8416,Web,Retail
133,133,10/30/2025,Debit,9937,ATM,Groceries
134,134,8/8/2026,Credit,8374,Branch,Fuel
135,135,10/14/2025,Debit,6034,Web,Other
136,136,7/5/2026,ATM,7931,Mobile,Groceries
137,137,7/7/2026,Debit,9806,ATM,Entertainment
138,138,7/24/2026,Credit,5233,Web,Other
139,139,5/18/2026,Transfer,5171,Branch,Entertainment
140,140,8/19/2026,Debit,9690,Branch,Fuel
141,141,8/12/2026,ATM,7298,Web,Groceries
142,142,3/27/2026,Debit,8467,ATM,Utilities
143,143,3/15/2026,ATM,8462,Branch,Utilities
144,144,8/19/2026,ATM,9465,ATM,Entertainment
145,145,3/21/2026,Debit,6833,Mobile,Entertainment
146,146,6/16/2026,ATM,9813,Web,Entertainment
147,147,3/27/2026,Transfer,8321,ATM,Entertainment
148,148,12/27/2025,ATM,8877,Web,Fuel
149,149,5/16/2026,ATM,5222,Mobile,Retail
150,150,2/23/2026,Credit,6673,Mobile,Other
151,1,12/27/2025,Transfer,6696,Mobile,Utilities
152,2,12/5/2025,ATM,5349,Mobile,Fuel
153,3,2/18/2026,ATM,7713,Branch,Utilities
154,4,3/1/2026,ATM,9923,Web,Fuel
155,5,12/11/2025,Debit,6638,ATM,Utilities
156,6,12/26/2025,Debit,8055,Web,Groceries
157,7,11/5/2025,Credit,7499,Mobile,Utilities
158,8,5/17/2026,ATM,8577,Mobile,Entertainment
159,9,4/7/2026,Transfer,7869,Branch,Groceries
160,10,7/21/2026,Credit,7150,Branch,Entertainment
161,11,11/24/2025,Transfer,7881,Mobile,Fuel
162,12,10/30/2025,ATM,9338,ATM,Other
163,13,3/1/2026,Credit,9457,Branch,Retail
164,14,7/3/2026,Credit,6258,Branch,Groceries
165,15,5/31/2026,ATM,5180,Branch,Retail
166,16,10/5/2025,Debit,8627,ATM,Entertainment
167,17,1/11/2026,ATM,5005,ATM,Entertainment
168,18,7/20/2026,Transfer,6791,Mobile,Entertainment
169,19,1/12/2026,Credit,5454,ATM,Fuel
170,20,10/25/2025,Transfer,7065,Mobile,Utilities
171,21,10/5/2025,ATM,8572,Mobile,Other
172,22,5/2/2026,Debit,8752,ATM,Retail
173,23,7/4/2026,ATM,6639,Web,Fuel
174,24,10/16/2025,Transfer,5435,Web,Other
175,25,3/14/2026,Debit,5682,ATM,Other
176,26,5/11/2026,Debit,5451,Web,Groceries
177,27,7/8/2026,Debit,6890,Branch,Entertainment
178,28,12/1/2025,ATM,5432,Web,Entertainment
179,29,1/19/2026,Transfer,6891,Mobile,Retail
180,30,7/28/2026,Transfer,8227,ATM,Entertainment
181,31,4/4/2026,Debit,9094,ATM,Other
182,32,10/28/2025,ATM,8781,ATM,Retail
183,33,9/19/2025,ATM,9547,Mobile,Other
184,34,4/18/2026,Transfer,8084,Mobile,Entertainment
185,35,8/13/2026,Transfer,9500,Mobile,Entertainment
186,36,7/9/2026,Debit,9159,Mobile,Other
187,37,2/11/2026,Credit,9653,Mobile,Other
188,38,8/4/2026,Transfer,8414,Web,Other
189,39,9/12/2025,ATM,7195,Web,Other
190,40,11/1/2025,ATM,8125,Mobile,Other
191,41,1/27/2026,Transfer,7699,Web,Groceries
192,42,10/23/2025,Debit,9825,Web,Entertainment
193,43,11/20/2025,Debit,7686,Branch,Groceries
194,44,12/27/2025,Debit,5156,ATM,Groceries
195,45,8/9/2026,Credit,5617,ATM,Utilities
196,46,1/30/2026,Transfer,5068,Mobile,Other
197,47,1/23/2026,ATM,8579,Mobile,Other
198,48,11/1/2025,Credit,9706,Mobile,Other
199,49,10/18/2025,Debit,7342,Mobile,Fuel
200,50,12/26/2025,Debit,6276,Branch,Fuel
201,51,2/15/2026,ATM,7758,Mobile,Fuel
202,52,8/4/2026,Credit,8524,Branch,Other
203,53,3/25/2026,Credit,6929,Mobile,Retail
204,54,2/26/2026,Debit,5886,Mobile,Fuel
205,55,1/5/2026,ATM,9084,Branch,Entertainment
206,56,10/16/2025,Credit,9394,ATM,Fuel
207,57,9/13/2025,Debit,6623,Mobile,Utilities
208,58,8/27/2026,Credit,6058,Branch,Groceries
209,59,10/21/2025,Credit,8809,Mobile,Entertainment
210,60,8/2/2026,Credit,5555,ATM,Groceries
211,61,8/5/2026,ATM,9795,Branch,Retail
212,62,2/22/2026,ATM,6551,Mobile,Groceries
213,63,6/15/2026,Credit,6142,Web,Fuel
214,64,11/9/2025,Credit,5935,ATM,Entertainment
215,65,11/17/2025,Credit,6718,Mobile,Utilities
216,66,5/1/2026,Transfer,9813,ATM,Other
217,67,12/1/2025,ATM,5896,Mobile,Fuel
218,68,11/23/2025,Transfer,7552,ATM,Entertainment
219,69,10/7/2025,ATM,9476,Branch,Other
220,70,8/30/2026,Transfer,7050,Web,Retail
221,71,9/11/2025,ATM,6685,Web,Fuel
222,72,7/5/2026,ATM,8165,Mobile,Utilities
223,73,8/10/2026,Transfer,5413,ATM,Other
224,74,1/20/2026,Debit,8267,Web,Retail
225,75,3/25/2026,Credit,7011,Mobile,Groceries
226,76,2/3/2026,Credit,6326,Mobile,Fuel
227,77,1/21/2026,Credit,9141,Mobile,Retail
228,78,5/24/2026,Transfer,6914,ATM,Retail
229,79,8/9/2026,Credit,6057,Branch,Fuel
230,80,9/24/2025,Debit,7724,ATM,Entertainment
231,81,2/18/2026,ATM,8069,ATM,Entertainment
232,82,10/31/2025,Transfer,5979,Branch,Retail
233,83,12/31/2025,Credit,6367,Branch,Utilities
234,84,6/26/2026,Debit,6705,ATM,Utilities
235,85,3/8/2026,Debit,6899,Web,Other
236,86,11/2/2025,ATM,8928,Web,Entertainment
237,87,11/23/2025,Credit,7536,Branch,Groceries
238,88,12/28/2025,Credit,8700,Web,Other
239,89,11/14/2025,Debit,7007,Web,Fuel
240,90,5/12/2026,Transfer,8473,ATM,Utilities
241,91,1/16/2026,Credit,7290,Branch,Groceries
242,92,1/11/2026,Transfer,6879,Web,Entertainment
243,93,3/18/2026,ATM,9477,Mobile,Fuel
244,94,9/30/2025,Transfer,7467,Mobile,Fuel
245,95,11/23/2025,Credit,7351,Mobile,Retail
246,96,6/17/2026,Transfer,5988,Mobile,Other
247,97,11/19/2025,Debit,6962,ATM,Other
248,98,6/16/2026,Credit,7931,Mobile,Utilities
249,99,6/14/2026,Debit,8780,Branch,Utilities
250,100,6/4/2026,Credit,5135,ATM,Other
251,101,11/6/2025,Debit,9644,Branch,Other
252,102,5/6/2026,ATM,8992,ATM,Groceries
253,103,5/6/2026,Credit,9405,Web,Groceries
254,104,3/5/2026,Transfer,7332,Mobile,Entertainment
255,105,1/3/2026,ATM,6892,Branch,Other
256,106,10/28/2025,Debit,6873,ATM,Retail
257,107,8/28/2026,Transfer,5380,ATM,Utilities
258,108,6/17/2026,Credit,7077,Web,Entertainment
259,109,6/3/2026,Debit,6687,Branch,Retail
260,110,5/24/2026,Transfer,6630,Mobile,Fuel
261,111,10/9/2025,Debit,5705,Mobile,Retail
262,112,7/14/2026,Transfer,8352,Web,Utilities
263,113,8/20/2026,Transfer,7436,Mobile,Groceries
264,114,3/8/2026,Credit,5002,Mobile,Fuel
265,115,6/24/2026,Credit,5673,ATM,Groceries
266,116,7/19/2026,Debit,8552,Branch,Fuel
267,117,11/10/2025,ATM,8954,Branch,Entertainment
268,118,9/27/2025,Credit,5631,Mobile,Utilities
269,119,8/13/2026,Transfer,6450,Mobile,Other
270,120,12/7/2025,Credit,5261,Web,Other
271,121,10/15/2025,Credit,6357,Branch,Fuel
272,122,6/4/2026,ATM,8292,Mobile,Entertainment
273,123,8/27/2026,Transfer,6050,Mobile,Groceries
274,124,11/4/2025,Transfer,9071,Web,Utilities
275,125,10/16/2025,Transfer,9114,Web,Fuel
276,126,3/28/2026,Credit,6786,Branch,Utilities
277,127,6/14/2026,Debit,8139,ATM,Retail
278,128,1/31/2026,Transfer,7506,Web,Entertainment
279,129,7/4/2026,Transfer,5693,Mobile,Utilities
280,130,5/23/2026,Transfer,5902,Mobile,Groceries
281,131,5/3/2026,Transfer,8871,Branch,Utilities
282,132,7/20/2026,Debit,9255,Branch,Utilities
283,133,6/12/2026,Debit,9650,Web,Other
284,134,7/12/2026,Credit,7589,Branch,Entertainment
285,135,1/30/2026,ATM,8352,Web,Utilities
286,136,6/30/2026,Credit,8009,Mobile,Utilities
287,137,4/17/2026,ATM,8778,Web,Groceries
288,138,9/25/2025,Transfer,6830,Mobile,Other
289,139,9/15/2025,Transfer,8494,Mobile,Fuel
290,140,3/21/2026,Debit,5542,Web,Retail
291,141,8/24/2026,Debit,8951,Branch,Entertainment
292,142,5/21/2026,Transfer,7569,Branch,Other
293,143,9/26/2025,Debit,9611,Branch,Other
294,144,9/8/2026,Credit,9279,Web,Utilities
295,145,4/8/2026,Transfer,5557,Branch,Utilities
296,146,4/4/2026,ATM,6366,Branch,Fuel
297,147,1/27/2026,Credit,8877,ATM,Fuel
298,148,6/19/2026,ATM,6430,Web,Other
299,149,8/18/2026,Credit,9255,Mobile,Fuel
300,150,3/8/2026,ATM,5569,ATM,Utilities
301,1,9/18/2025,Debit,5252,Mobile,Fuel
302,2,10/23/2025,Transfer,9118,Branch,Entertainment
303,3,9/26/2025,Credit,8490,Web,Other
304,4,6/2/2026,Transfer,9181,Branch,Utilities
305,5,4/19/2026,Credit,8100,Web,Other
306,6,5/8/2026,Debit,6202,Branch,Other
307,7,3/12/2026,Debit,7864,Web,Groceries
308,8,7/23/2026,Credit,9711,ATM,Fuel
309,9,3/17/2026,ATM,9922,Branch,Fuel
310,10,3/15/2026,Transfer,8709,ATM,Fuel
311,11,7/23/2026,Debit,5770,Mobile,Fuel
312,12,2/9/2026,Transfer,7677,Web,Entertainment
313,13,7/22/2026,Debit,8635,ATM,Groceries
314,14,7/30/2026,Debit,5270,Mobile,Entertainment
315,15,6/5/2026,ATM,9239,Branch,Utilities
316,16,12/5/2025,Debit,9159,ATM,Entertainment
317,17,5/16/2026,Debit,8026,Web,Groceries
318,18,1/12/2026,ATM,6627,Branch,Fuel
319,19,5/31/2026,ATM,5176,Mobile,Utilities
320,20,8/11/2026,Credit,7938,Web,Entertainment
321,21,11/1/2025,Transfer,6482,ATM,Fuel
322,22,2/27/2026,ATM,9763,ATM,Fuel
323,23,11/16/2025,ATM,6857,Mobile,Entertainment
324,24,6/8/2026,Debit,9558,Branch,Other
325,25,9/12/2025,ATM,5672,Web,Utilities
326,26,11/27/2025,ATM,5344,Mobile,Utilities
327,27,2/8/2026,Transfer,9393,Web,Entertainment
328,28,11/27/2025,ATM,8306,Mobile,Fuel
329,29,6/27/2026,Transfer,8236,Mobile,Entertainment
330,30,3/31/2026,Transfer,5387,Web,Fuel
331,31,6/29/2026,Debit,5705,Web,Groceries
332,32,12/19/2025,Debit,9312,Mobile,Other
333,33,10/1/2025,ATM,5469,ATM,Fuel
334,34,2/11/2026,Transfer,6431,Branch,Groceries
335,35,5/27/2026,Credit,7097,ATM,Entertainment
336,36,9/17/2025,ATM,7325,Branch,Entertainment
337,37,2/14/2026,Credit,6659,Branch,Groceries
338,38,6/23/2026,Debit,8676,Branch,Groceries
339,39,3/20/2026,Debit,6780,Branch,Retail
340,40,4/12/2026,Transfer,9420,Mobile,Groceries
341,41,6/11/2026,ATM,6263,Web,Groceries
342,42,11/10/2025,Debit,6705,ATM,Entertainment
343,43,9/20/2025,Credit,9658,Web,Fuel
344,44,7/19/2026,Transfer,6868,ATM,Retail
345,45,12/31/2025,ATM,8474,Web,Other
346,46,2/4/2026,ATM,7192,ATM,Fuel
347,47,7/29/2026,Debit,5267,Branch,Other
348,48,11/17/2025,ATM,8900,Mobile,Groceries
349,49,5/10/2026,ATM,5288,Mobile,Retail
350,50,3/26/2026,ATM,6794,Branch,Utilities
351,51,9/22/2025,ATM,5398,Mobile,Fuel
352,52,4/28/2026,Transfer,5287,Branch,Entertainment
353,53,6/8/2026,Transfer,5150,Branch,Retail
354,54,11/8/2025,Transfer,6288,ATM,Utilities
355,55,4/14/2026,Transfer,6958,Web,Other
356,56,3/22/2026,ATM,5865,Web,Groceries
357,57,6/8/2026,ATM,9328,Branch,Retail
358,58,8/2/2026,ATM,5419,Mobile,Retail
359,59,6/13/2026,ATM,8227,Web,Groceries
360,60,7/3/2026,Debit,8766,Branch,Entertainment
361,61,8/3/2026,Debit,8492,ATM,Other
362,62,5/13/2026,ATM,8493,Web,Groceries
363,63,10/13/2025,Debit,7687,Mobile,Entertainment
364,64,4/17/2026,Debit,7302,Mobile,Groceries
365,65,3/5/2026,ATM,9479,Mobile,Utilities
366,66,7/13/2026,Credit,6113,Mobile,Groceries
367,67,3/6/2026,Debit,8031,Mobile,Groceries
368,68,12/16/2025,Credit,9644,Mobile,Entertainment
369,69,12/3/2025,Transfer,9529,Web,Retail
370,70,2/22/2026,ATM,9106,Web,Utilities
371,71,9/18/2025,Credit,8258,Web,Retail
372,72,1/31/2026,ATM,7384,ATM,Groceries
373,73,1/28/2026,Transfer,8217,Branch,Fuel
374,74,12/26/2025,Debit,5412,Branch,Entertainment
375,75,9/21/2025,ATM,5779,Web,Other
376,76,11/22/2025,Debit,6077,Branch,Other
377,77,6/26/2026,Credit,5456,Branch,Groceries
378,78,6/26/2026,Transfer,8003,Mobile,Fuel
379,79,8/27/2026,ATM,7191,Mobile,Groceries
380,80,12/9/2025,Credit,6590,ATM,Utilities
381,81,2/21/2026,Transfer,9152,Web,Entertainment
382,82,2/7/2026,Credit,8382,ATM,Retail
383,83,1/10/2026,Debit,6238,Web,Groceries
384,84,8/23/2026,Transfer,6432,Web,Utilities
385,85,4/30/2026,Credit,9273,Branch,Fuel
386,86,9/21/2025,Credit,8579,Web,Other
387,87,5/31/2026,Transfer,5253,Web,Retail
388,88,2/9/2026,Transfer,7783,Mobile,Other
389,89,5/28/2026,ATM,7801,Mobile,Retail
390,90,6/4/2026,Credit,8293,ATM,Fuel
391,91,12/5/2025,Transfer,6683,Web,Utilities
392,92,7/1/2026,Transfer,5194,Branch,Entertainment
393,93,3/23/2026,Credit,6531,ATM,Retail
394,94,2/9/2026,Debit,5451,Mobile,Utilities
395,95,12/5/2025,ATM,8448,Mobile,Other
396,96,3/17/2026,Credit,8722,Web,Utilities
397,97,11/29/2025,Debit,6876,Web,Utilities
398,98,10/12/2025,Debit,6967,Branch,Utilities
399,99,6/16/2026,Transfer,8779,Branch,Groceries
400,100,6/29/2026,ATM,5802,Branch,Fuel
401,101,7/6/2026,Credit,8041,Web,Fuel
402,102,9/25/2025,Debit,7360,Branch,Other
403,103,8/11/2026,Debit,6805,Branch,Other
404,104,3/4/2026,ATM,8491,ATM,Fuel
405,105,4/11/2026,Credit,6856,ATM,Retail
406,106,11/19/2025,Credit,8143,Web,Utilities
407,107,4/5/2026,Credit,6710,Branch,Groceries
408,108,4/21/2026,Debit,6005,Branch,Utilities
409,109,5/17/2026,Credit,7398,Mobile,Utilities
410,110,11/27/2025,Debit,6730,Web,Utilities
411,111,3/27/2026,ATM,6791,ATM,Other
412,112,12/13/2025,Credit,9785,Branch,Fuel
413,113,2/19/2026,Debit,7405,Web,Retail
414,114,8/14/2026,ATM,7141,Web,Other
415,115,2/1/2026,Debit,6542,Branch,Utilities
416,116,10/13/2025,Credit,7493,Mobile,Fuel
417,117,7/23/2026,Credit,7932,ATM,Retail
418,118,5/14/2026,ATM,8248,ATM,Groceries
419,119,5/12/2026,Debit,6940,Mobile,Retail
420,120,4/12/2026,ATM,5011,Web,Retail
421,121,3/14/2026,Debit,9125,Web,Groceries
422,122,2/26/2026,ATM,8008,Branch,Entertainment
423,123,10/24/2025,ATM,5471,ATM,Retail
424,124,1/2/2026,Debit,7227,Branch,Other
425,125,6/2/2026,Transfer,8151,ATM,Fuel
426,126,4/24/2026,ATM,5541,Branch,Other
427,127,1/16/2026,ATM,5421,Branch,Utilities
428,128,3/4/2026,Transfer,8295,ATM,Utilities
429,129,1/3/2026,Credit,5278,Branch,Entertainment
430,130,11/9/2025,Credit,7730,ATM,Fuel
431,131,1/19/2026,ATM,6019,Branch,Fuel
432,132,1/6/2026,Transfer,7120,Branch,Entertainment
433,133,2/15/2026,Credit,9387,Branch,Entertainment
434,134,7/17/2026,Credit,9804,Mobile,Other
435,135,2/4/2026,Debit,5886,Branch,Entertainment
436,136,4/5/2026,ATM,7183,ATM,Utilities
437,137,7/22/2026,Transfer,5998,ATM,Retail
438,138,10/27/2025,ATM,6340,Mobile,Retail
439,139,6/14/2026,Transfer,7481,Mobile,Fuel
440,140,6/30/2026,Transfer,9771,Branch,Entertainment
441,141,10/8/2025,Credit,6029,Branch,Retail
442,142,1/11/2026,Debit,8352,Branch,Other
443,143,5/3/2026,Debit,6095,ATM,Entertainment
444,144,11/20/2025,Credit,7482,Mobile,Fuel
445,145,12/5/2025,ATM,6754,ATM,Entertainment
446,146,6/16/2026,Debit,8672,Web,Fuel
447,147,1/21/2026,Transfer,8877,Web,Other
448,148,8/3/2026,Credit,7243,Branch,Utilities
449,149,9/14/2025,ATM,5436,Web,Groceries
450,150,10/16/2025,Transfer,7648,Branch,Entertainment
451,1,2/28/2026,Transfer,5455,Branch,Retail
452,2,4/24/2026,Credit,9223,Mobile,Utilities
453,3,4/18/2026,ATM,5815,ATM,Entertainment
454,4,6/29/2026,Transfer,8887,ATM,Utilities
455,5,3/11/2026,ATM,8452,Branch,Utilities
456,6,4/30/2026,Credit,8912,Web,Utilities
457,7,8/17/2026,Credit,6560,Mobile,Entertainment
458,8,3/12/2026,Credit,5976,Mobile,Entertainment
459,9,11/17/2025,Transfer,5950,Branch,Groceries
460,10,11/2/2025,Transfer,8149,ATM,Utilities
461,11,1/16/2026,Debit,5383,Mobile,Other
462,12,1/12/2026,Debit,7952,Branch,Other
463,13,3/6/2026,ATM,5878,Mobile,Fuel
464,14,1/19/2026,Debit,5634,Mobile,Other
465,15,7/12/2026,Debit,7543,Web,Entertainment
466,16,4/13/2026,Credit,5760,Web,Entertainment
467,17,5/30/2026,Debit,8801,Branch,Fuel
468,18,12/8/2025,Transfer,6685,ATM,Utilities
469,19,5/22/2026,Credit,7684,Web,Other
470,20,2/9/2026,Credit,5971,Web,Retail
471,21,10/12/2025,ATM,5238,ATM,Other
472,22,5/14/2026,Transfer,5254,ATM,Utilities
473,23,6/1/2026,Debit,7748,Web,Other
474,24,11/9/2025,Transfer,6331,Mobile,Other
475,25,10/29/2025,Credit,6012,Branch,Other
476,26,12/11/2025,Credit,7925,Web,Groceries
477,27,4/18/2026,Transfer,9673,Web,Groceries
478,28,6/19/2026,ATM,7381,ATM,Retail
479,29,10/18/2025,Debit,5640,Branch,Retail
480,30,7/6/2026,Transfer,6492,Mobile,Fuel
481,31,3/23/2026,Transfer,5036,Mobile,Other
482,32,2/10/2026,ATM,8929,Mobile,Other
483,33,12/11/2025,Debit,7571,ATM,Fuel
484,34,10/7/2025,Debit,5166,Branch,Utilities
485,35,1/12/2026,Credit,8761,Branch,Other
486,36,12/5/2025,Transfer,8992,Web,Fuel
487,37,1/20/2026,Debit,8283,ATM,Retail
488,38,4/11/2026,Credit,6505,Web,Retail
489,39,9/28/2025,Credit,7533,Branch,Groceries
490,40,5/25/2026,Debit,7322,Mobile,Groceries
491,41,4/18/2026,Transfer,8347,Mobile,Retail
492,42,7/17/2026,Credit,8645,Branch,Other
493,43,3/23/2026,Debit,8846,Web,Fuel
494,44,9/15/2025,Transfer,8468,Mobile,Utilities
495,45,9/22/2025,Transfer,6006,Branch,Fuel
496,46,4/11/2026,Debit,9911,ATM,Entertainment
497,47,9/26/2025,Transfer,5722,Web,Groceries
498,48,11/30/2025,Debit,6344,ATM,Retail
499,49,12/7/2025,ATM,5605,Web,Other
500,50,4/28/2026,Debit,5015,Web,Entertainment
501,51,5/12/2026,Credit,8854,Mobile,Entertainment
502,52,10/3/2025,Debit,8393,Branch,Fuel
503,53,4/23/2026,Debit,5216,Branch,Fuel
504,54,4/26/2026,Credit,5168,ATM,Entertainment
505,55,4/19/2026,Debit,9217,Mobile,Fuel
506,56,1/20/2026,Transfer,6493,Branch,Other
507,57,10/26/2025,Debit,6109,Branch,Fuel
508,58,11/20/2025,ATM,7865,Mobile,Retail
509,59,2/11/2026,ATM,7784,Web,Fuel
510,60,4/25/2026,ATM,5139,Mobile,Fuel
511,61,7/31/2026,Debit,9046,Mobile,Utilities
512,62,9/28/2025,Credit,5746,Mobile,Entertainment
513,63,5/24/2026,Transfer,7407,Mobile,Entertainment
514,64,1/6/2026,ATM,7744,ATM,Retail
515,65,3/27/2026,Debit,7294,Mobile,Other
516,66,7/13/2026,ATM,9382,Mobile,Other
517,67,7/7/2026,Debit,7835,Mobile,Other
